Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4991;4989;85275;1546372.0;82292;0;17092.603728202044;309956.3038685107;null;-1;-1;-1;[ 48.23453532688361 51.76546467311639 ];
1;14991;14989;234566;4637773.0;223757;0;15649.20942024151;309411.7686303289;noop;1.32513E7;234566;56.492842099878075;[ 43.507157900121925 56.492842099878075 ];
2;10000;9985;174734;3065218.0;165256;0;17499.649474211317;306982.27341011516;( drop 4 );1.173185E7;170034;68.9970829363539;[ 31.296141563748325 68.70385843625168 ];
3;10000;9972;161039;3102291.0;143333;0;16149.117529081428;311100.18050541513;noop;2.23879E7;331072;67.6224507055867;[ 33.828761976912425 66.17123802308757 ];
4;10000;9960;185053;3074771.0;159410;0;18579.61847389558;308711.9477911647;( drop 3 );2034550.0;28110;72.37815723941658;[ 30.55665133772487 69.44334866227513 ];
5;10000;9965;170926;3047569.0;143391;0;17152.634219769192;305827.2955343703;noop;1.4938E7;199042;75.04948704293567;[ 24.50972935656366 75.49027064343635 ];
6;10000;9962;171828;3235933.0;132589;0;17248.343706083117;324827.64505119453;( drop 7 );2.002415E7;281513;71.13046289158937;[ 30.484263333100543 69.51573666689946 ];
7;10000;9966;144508;2994635.0;98768;0;14500.100341159943;300485.1495083283;noop;3.002575E7;426062;70.47272462693223;[ 30.80729094582999 69.19270905417001 ];
8;10000;9971;198247;3331463.0;137664;0;19882.35884063785;334115.23417911946;( drop 6 );1.344815E7;189459;70.98184831546668;[ 29.777751996247105 70.2222480037529 ];
9;10000;9970;182764;3341895.0;124335;0;18331.394182547643;335195.0852557673;noop;2.60243E7;372239;69.91287855383234;[ 31.197336455757153 68.80266354424285 ];
10;10000;9972;2480705;2484369.0;370;0;248767.04773365424;249134.47653429603;( drop 5 );2.482644E8;2482644;100.0;[ 0.007356779625146884 99.99264322037486 ];
