Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4990;4987;24715;530934.0;24535;0;4955.88530178464;106463.60537397233;null;-1;-1;-1;[ 57.88589925146672 42.11410074853328 ];
1;14990;14986;84508;1884245.0;81703;0;5639.1298545308955;125733.68477245429;noop;3720300.0;84508;44.02305107208785;[ 55.97694892791215 44.02305107208785 ];
2;10000;9994;61672;1318507.0;58116;0;6170.902541524915;131929.85791474886;( drop 4 );2802600.0;55348;50.63597600635976;[ 50.36483331171358 49.63516668828642 ];
3;10000;9983;64214;1339744.0;60014;0;6432.334969448062;134202.5443253531;noop;6010000.0;119561;50.26722760766471;[ 50.04983336967017 49.95016663032983 ];
4;10000;9982;80984;1644008.0;65023;0;8113.003406131036;164697.2550591064;( drop 4 );4702150.0;73541;63.93916318788159;[ 37.295638644670554 62.704361355329446 ];
5;10000;9986;85585;1945379.0;60660;0;8570.49869817745;194810.6348888444;noop;1.00573E7;159125;63.2037706205813;[ 37.42770345270783 62.57229654729217 ];
6;10000;9977;93762;1709079.0;66276;0;9397.814974441215;171301.89435702114;( drop 4 );7203800.0;90054;79.99422568681014;[ 20.6837524796826 79.3162475203174 ];
7;10000;9986;94222;1938353.0;64609;0;9435.409573402763;194107.04986981774;noop;1.45797E7;184275;79.11925111925112;[ 21.71679650187854 78.28320349812145 ];
8;10000;9981;4919680;4938675.0;1547;0;492904.5185853121;494807.63450556056;( drop 4 );4.918856E8;4918856;100.0;[ 0.007368365422141278 99.99263163457786 ];
