Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4990;4987;27129;574882.0;26794;0;5439.943854020453;115276.11790655705;null;-1;-1;-1;[ 58.11677540639168 41.88322459360832 ];
1;14990;14986;83557;1857566.0;81903;0;5575.6706259175235;123953.42319498198;noop;3710600.0;83557;44.40800890410139;[ 55.59199109589861 44.40800890410139 ];
2;10000;9994;60137;1259382.0;56282;0;6017.310386231739;126013.80828497098;( drop 4 );3267750.0;60512;54.00168561607615;[ 46.48053610921729 53.51946389078271 ];
3;10000;9984;64478;1417101.0;59233;0;6458.133012820513;141937.19951923078;noop;6526400.0;124989;52.215794989959115;[ 49.459505567790565 50.540494432209435 ];
4;10000;9984;74703;1385704.0;66154;0;7482.271634615385;138792.46794871794;( drop 4 );4141200.0;71642;57.80408140476257;[ 43.87106274179082 56.12893725820918 ];
5;10000;9986;82893;1563997.0;69811;0;8300.921289805729;156618.96655317445;noop;9105650.0;154534;58.923279019503795;[ 40.108935615793854 59.891064384206146 ];
6;10000;9982;80576;1534144.0;66135;0;8072.129833700661;153691.04387898216;( drop 6 );1.105505E7;190139;58.14193826621577;[ 40.87321286735504 59.12678713264496 ];
7;10000;9980;100655;1858031.0;76065;0;10085.671342685371;186175.45090180362;noop;1.72669E7;290793;59.37866454832132;[ 38.28572847846605 61.71427152153395 ];
8;10015;9996;102491;2013248.0;73292;0;10253.201280512205;201405.36214485794;( drop 4 );1.930395E7;326814;59.06708402944794;[ 37.04227688284825 62.95772311715175 ];
9;10000;9977;107737;1883703.0;79917;0;10798.536634258795;188804.55046607196;noop;2.619075E7;434657;60.256132996822785;[ 36.11851081801053 63.88148918198947 ];
10;10000;9976;113558;1880464.0;83617;0;11383.119486768244;188498.79711307137;( drop 3 );8910550.0;140244;63.5360514531816;[ 36.14188344282217 63.85811655717783 ];
11;10000;9975;120074;1959339.0;83094;0;12037.49373433584;196424.96240601502;noop;1.6732E7;260326;64.27325737728847;[ 34.865582890550826 65.13441710944917 ];
12;10000;9970;127761;1987434.0;85549;0;12814.543630892678;199341.42427281846;( drop 1 );2.24102E7;351807;63.70026747620144;[ 32.78543530498352 67.21456469501648 ];
13;10000;9976;144992;2156603.0;83318;0;14534.081796311148;216179.1299117883;noop;3.28176E7;496801;66.05783804783002;[ 28.221557051423527 71.77844294857647 ];
14;10000;9977;151209;2259385.0;83902;0;15155.75824396111;226459.35651999598;( drop 1 );1.72982E7;261145;66.2398284477972;[ 33.78932470950803 66.21067529049196 ];
15;10000;9976;160073;2449034.0;76484;0;16045.809943865277;245492.58219727347;noop;2.89694E7;421217;68.77547677325464;[ 27.08764126367345 72.91235873632655 ];
16;10000;9966;208005;2789168.0;51575;0;20871.462974111982;279868.35239815374;( drop 3 );2.804935E7;350774;79.964164960915;[ 12.648734405422946 87.35126559457706 ];
17;10000;9981;244004;2876935.0;17755;0;24446.84901312494;288241.1582005811;noop;5.16428E7;594776;86.82730977712617;[ 3.307117916099736 96.69288208390026 ];
18;10000;9983;361527;3307276.0;15685;0;36214.26424922368;331290.7943503957;( drop 1 );3.896215E7;400004;97.40440095599044;[ 1.9369231067112553 98.06307689328874 ];
19;9999;9990;458537;3380157.0;8717;0;45899.5995995996;338354.0540540541;noop;8.433105E7;858540;98.22611643021874;[ 1.0570575547883814 98.94294244521161 ];
20;10000;9993;681314;3576839.0;5889;0;68179.12538777143;357934.45411788253;( drop 2 );7.7144E7;775132;99.52369402888799;[ 0.6598279207531329 99.34017207924687 ];
21;10000;9994;900546;3368088.0;3507;0;90108.66519911947;337011.0066039624;noop;1.6692435E8;1675682;99.61576838564835;[ 0.30475955697987667 99.69524044302013 ];
22;10000;9996;550815;3691770.0;4396;0;55103.54141656663;369324.7298919568;( drop 7 );9.27135E7;932635;99.41027304358082;[ 0.7474378874939862 99.25256211250601 ];
23;10000;9997;664036;3655289.0;3433;0;66423.52705811744;365638.5915774732;noop;1.589284E8;1598284;99.43689607103619;[ 0.4501261979772181 99.54987380202279 ];
24;10000;9997;656784;3921742.0;2942;0;65698.10943282985;392291.8875662699;( drop 3 );8.99274E7;902265;99.66850093930276;[ 0.5082340617311019 99.4917659382689 ];
25;10000;9998;804753;3960675.0;1937;0;80491.39827965593;396146.72934586916;noop;1.707779E8;1714061;99.63350195821502;[ 0.33438831542100494 99.66561168457899 ];
26;10000;9998;756469;4264657.0;1648;0;75662.0324064813;426551.01020204043;( drop 7 );1.053014E8;1055237;99.78933642395026;[ 0.45395118636718756 99.54604881363281 ];
27;10000;9998;867189;4016445.0;789;0;86736.2472494499;401724.8449689938;noop;1.920249E8;1925216;99.74200297525057;[ 0.29716705354888034 99.70283294645112 ];
28;10000;9999;942561;4558027.0;411;0;94265.52655265527;455848.28482848284;( drop 6 );1.256354E8;1257573;99.9030672573282;[ 0.35286840851679624 99.6471315914832 ];
29;10000;9998;1134298;4503610.0;105;0;113452.49049809962;450451.0902180436;noop;2.387682E8;2392130;99.8140569283442;[ 0.2778811211868486 99.72211887881315 ];
30;10000;9998;5935153;5935481.0;21;0;593634.026805361;593666.8333666733;( drop 2 );6.412978E8;6412978;100.0;[ 3.3697530628106804E-4 99.99966302469372 ];
