Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4990;4988;89584;1531569.0;86801;0;17959.903769045708;307050.72173215717;null;-1;-1;-1;[ 67.41884711555635 32.581152884443654 ];
1;14990;14988;252923;4874749.0;239892;0;16875.03336002135;325243.4614358153;( drop 2 );7575400.0;114920;65.91890010442047;[ 65.4673556774196 34.53264432258039 ];
2;10000;9984;165960;3393538.0;144906;0;16622.596153846152;339897.6362179487;noop;1.819455E7;280879;64.77718163337238;[ 63.98620149433599 36.01379850566401 ];
3;9999;9970;197381;3339018.0;162320;0;19797.492477432297;334906.51955867605;( drop 4 );7888250.0;102667;76.83335443716092;[ 75.82315420430538 24.17684579569462 ];
4;10000;9960;189071;3276104.0;132116;0;18983.032128514056;328926.1044176707;noop;2.22659E7;291768;76.31371500644347;[ 76.03096191377843 23.969038086221577 ];
5;10000;9964;1029035;3147501.0;5531;0;103275.29104777199;315887.2942593336;( drop 3 );1.028565E8;1029947;99.86581833822517;[ 99.85462107702848 0.14537892297152186 ];
6;10000;9977;1299246;2608015.0;853;0;130224.11546557081;261402.72627042196;noop;2.327596E8;2329211;99.93066321599889;[ 99.98222045709589 0.017779542904115157 ];
7;10000;9982;2277408;2282689.0;413;0;228151.47265077138;228680.52494490083;( drop 1 );1.3085E8;1308500;100.0;[ 99.99459912321376 0.0054008767862412 ];
