Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4988;4985;26415;537262.0;24880;0;5298.896690070211;107775.72718154463;null;-1;-1;-1;[ 63.37876206700738 36.62123793299262 ];
1;14987;14984;86831;1830479.0;78597;0;5794.91457554725;122162.23972237053;( drop 4 );5366950.0;82141;65.3382598215264;[ 64.73379323052826 35.26620676947173 ];
2;10000;9995;64240;1352016.0;58309;0;6427.2136068034015;135269.23461730866;noop;9088550.0;146380;62.088741631370404;[ 57.93430884184309 42.06569115815691 ];
3;10000;9990;74736;1417178.0;64693;0;7481.081081081081;141859.65965965966;( drop 4 );4588400.0;66941;68.54394167998686;[ 67.18047527296082 32.81952472703918 ];
4;9999;9984;86618;1666074.0;68911;0;8675.68108974359;166874.39903846153;noop;1.046815E7;153558;68.17065864363954;[ 67.88254173497425 32.117458265025746 ];
5;10000;9981;97406;1696405.0;68085;0;9759.142370503958;169963.43051798418;( drop 4 );8382000.0;100422;83.46776602736452;[ 82.41997412890376 17.580025871096236 ];
6;10000;9982;108241;2017829.0;63228;0;10843.618513323983;202146.76417551594;noop;1.737175E7;208662;83.25305997258725;[ 83.05401834794579 16.94598165205421 ];
7;10000;9979;5192046;5212617.0;1607;0;520297.2241707586;522358.6531716605;( drop 4 );5.192349E8;5192349;100.0;[ 99.99274852341446 0.007251476585531022 ];
