Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4997;4994;91524;1529598.0;88443;0;18326.792150580695;306287.1445734882;null;-1;-1;-1;[ 65.33313666360736 34.66686333639264 ];
1;14997;14994;265813;4777899.0;251346;0;17727.95784980659;318654.06162464985;( drop 3 );8884100.0;137437;64.64125381083697;[ 63.793531542851554 36.206468457148446 ];
2;10000;9986;160239;3247075.0;144197;0;16046.364910875225;325162.7278189465;noop;1.8172E7;297675;61.04644326866549;[ 57.962793077839976 42.037206922160024 ];
3;10674;10644;161944;2982348.0;138042;0;15214.580984592258;280190.52987598645;( drop 4 );1.10405E7;156746;70.4356092021487;[ 70.05199328162821 29.948006718371783 ];
4;10000;9961;178664;3233224.0;137415;0;17936.35177191045;324588.294347957;noop;2.39061E7;335409;71.27447385132778;[ 72.01058971029418 27.989410289705816 ];
5;10000;9963;1061726;3217510.0;3397;0;106566.89752082706;322945.8998293687;( drop 2 );1.0604515E8;1061608;99.89106148408828;[ 99.88240845566558 0.11759154433441396 ];
6;10000;9977;1318464;2640485.0;312;0;132150.34579532925;264657.2115866493;noop;2.3787885E8;2380084;99.94556914797965;[ 99.98960912091646 0.010390879083539634 ];
7;10000;9981;2313001;2314717.0;147;0;231740.40677286845;231912.3334335237;( drop 1 );1.322779E8;1322779;100.0;[ 99.9973194996457 0.0026805003543016194 ];
