Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4990;4988;91137;1733352.0;86091;0;18271.251002405774;347504.41058540496;null;-1;-1;-1;[ 41.74868604408747 58.25131395591253 ];
1;14990;14988;247023;5166117.0;223384;0;16481.38510808647;344683.54683746997;noop;1.481595E7;247023;59.978018241216404;[ 40.021981758783596 59.978018241216404 ];
2;10000;9987;165786;2899541.0;154245;0;16600.180234304597;290331.53099028737;( drop 3 );1.201765E7;173396;69.30753881289073;[ 30.639499113314756 69.36050088668524 ];
3;10000;9972;157477;3411086.0;144079;0;15791.91736863217;342066.3858804653;noop;2.171905E7;330872;65.64184941608839;[ 38.394813210818086 61.605186789181914 ];
4;10000;9956;161483;3370660.0;151254;0;16219.666532744073;338555.64483728405;( drop 3 );9290800.0;154781;60.025455320743504;[ 40.786027012131306 59.213972987868694 ];
5;10000;9964;165455;3296130.0;149054;0;16605.279004415897;330803.89401846647;noop;1.895515E7;320235;59.19137508392274;[ 41.58864948173219 58.41135051826781 ];
6;10000;9958;170208;3367164.0;152547;0;17092.588873267723;338136.57360915845;( drop 4 );9409550.0;172170;54.65266887378753;[ 45.99666290656138 54.00333709343862 ];
7;10000;9961;162868;3392376.0;135358;0;16350.567212127296;340565.8066459191;noop;1.850595E7;336544;54.988203622706095;[ 44.85288700051576 55.14711299948424 ];
8;10000;9958;162201;3810234.0;97708;0;16288.511749347259;382630.44788110064;( drop 3 );1.90211E7;356664;53.3305856492385;[ 43.95348980585816 56.04651019414184 ];
9;10000;9968;155527;4271458.0;45233;0;15602.628410914927;428517.05457463884;noop;2.7577E7;512190;53.841347937288894;[ 44.98768702540395 55.01231297459605 ];
10;10000;9974;157209;4604748.0;23571;0;15761.880890314818;461675.15540405054;( drop 7 );2.55799E7;486732;52.554383110212605;[ 46.11854283151728 53.88145716848272 ];
11;10000;9981;158057;4588872.0;21380;0;15835.78799719467;459760.74541629094;noop;3.41866E7;645960;52.923710446467275;[ 46.03971984790297 53.96028015209703 ];
12;10000;9989;163677;4696907.0;16689;0;16385.7242967264;470207.92872159375;( drop 6 );3.63353E7;702939;51.690544983277356;[ 47.44405139390385 52.55594860609615 ];
13;10000;9992;160231;4367551.0;17448;0;16035.928742994396;437104.78382706165;noop;4.49053E7;863210;52.021292617092016;[ 46.52969774887506 53.47030225112494 ];
14;10000;9993;179557;4339678.0;59919;0;17968.27779445612;434271.7902531772;( drop 4 );5.10076E7;988322;51.61030514346539;[ 44.50954293065712 55.49045706934288 ];
15;10000;9992;185890;4727698.0;24624;0;18603.883106485187;473148.31865492393;noop;6.091655E7;1174442;51.86850436207152;[ 46.7413524127172 53.2586475872828 ];
16;10000;9991;221410;4465563.0;83405;0;22160.94485036533;446958.5627064358;( drop 2 );1.13615E7;206313;55.06923945655387;[ 45.17795040874396 54.82204959125604 ];
17;10000;9988;219874;5337321.0;14854;0;22013.816579895876;534373.3480176212;noop;2.29848E7;426190;53.93087590042;[ 47.136541837597896 52.863458162402104 ];
18;10003;9992;232842;5510113.0;8299;0;23302.842273819057;551452.4619695756;( drop 4 );2.907505E7;562213;51.71536410577486;[ 46.95158090035303 53.04841909964697 ];
