Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4989;4987;28444;599398.0;28146;0;5703.629436534991;120192.09945859235;null;-1;-1;-1;[ 55.322739417803405 44.677260582196595 ];
1;14989;14986;90987;1965236.0;88900;0;6071.466702255439;131138.12892032563;noop;4054550.0;90987;44.56186048556387;[ 55.43813951443613 44.56186048556387 ];
2;10004;9997;66295;1379861.0;61542;0;6631.48944683405;138027.50825247573;( drop 4 );3289500.0;61751;53.270392382309595;[ 47.61897579002942 52.38102420997058 ];
3;10000;9984;75269;1583823.0;65905;0;7538.96233974359;158636.11778846153;noop;7157600.0;137019;52.238010786825186;[ 48.60965337655608 51.39034662344392 ];
4;10000;9984;72706;1554623.0;63520;0;7282.2516025641025;155711.43830128206;( drop 4 );8932500.0;175567;50.878012382737076;[ 48.923059995048554 51.076940004951446 ];
5;10000;9986;75897;1625523.0;66854;0;7600.340476667334;162780.19226917686;noop;1.314045E7;251463;52.25599790028752;[ 44.555779543328455 55.444220456671545 ];
6;10000;9982;59768;1323042.0;56329;0;5987.577639751553;132542.7769985975;( drop 2 );3691900.0;76004;48.57507499605284;[ 52.68622005086334 47.31377994913666 ];
7;10000;9976;63889;1526325.0;60097;0;6404.270248596632;152999.69927826786;noop;6679100.0;138809;48.11719701172114;[ 52.31730031773858 47.68269968226142 ];
8;10000;9985;74320;1796009.0;64891;0;7443.164747120681;179870.70605908864;( drop 2 );6641750.0;142309;46.67132788509511;[ 53.17142088266954 46.82857911733046 ];
9;10000;9986;80395;1958480.0;67172;0;8050.771079511316;196122.57160024034;noop;1.043615E7;222689;46.864236670872835;[ 52.79308414702407 47.20691585297593 ];
10;10000;9981;67413;1362666.0;61260;0;6754.132852419597;136525.99939885782;( drop 5 );4317050.0;76403;56.503671321806735;[ 44.67535935205376 55.32464064794624 ];
11;10000;9979;88193;1760243.0;72036;0;8837.859504960417;176394.7289307546;noop;9070550.0;164707;55.070822733702876;[ 46.16522853287676 53.83477146712324 ];
12;10000;9979;75553;1453268.0;69256;0;7571.199518989879;145632.62851989176;( drop 5 );5774550.0;78110;73.9284342593778;[ 26.792450332878907 73.2075496671211 ];
13;10000;9984;83527;1547570.0;73559;0;8366.085737179486;155005.0080128205;noop;1.216535E7;161645;75.25967397692474;[ 23.494798089240604 76.5052019107594 ];
14;9999;9977;107787;1727726.0;81833;0;10803.548160769771;173170.89305402426;( drop 5 );8879050.0;104171;85.23533421009687;[ 15.498158405002458 84.50184159499754 ];
15;10000;9983;127323;2055541.0;76959;0;12753.981769007312;205904.13703295603;noop;1.96257E7;231503;84.77514330267859;[ 15.602444177407067 84.39755582259293 ];
16;10000;9973;137739;2245897.0;76491;0;13811.190213576658;225197.73388148;( drop 4 );2.802525E7;334425;83.80130074007624;[ 16.006359854507437 83.99364014549256 ];
17;9999;9980;161218;2225629.0;78493;0;16154.108216432865;223008.91783567134;noop;4.27924E7;495642;86.3373160466627;[ 8.401977446687095 91.5980225533129 ];
18;10000;9975;163564;2182879.0;75544;0;16397.393483709275;218834.98746867166;( drop 7 );1.652525E7;178017;92.82961739609138;[ 7.093553593700325 92.90644640629968 ];
19;10010;9978;196195;2440216.0;68004;0;19662.758067749048;244559.63118861496;noop;3.519235E7;374240;94.03684801197093;[ 4.86556742016871 95.13443257983128 ];
20;10000;9974;343110;3158487.0;42299;0;34400.44114698216;316672.0473230399;( drop 6 );3.51396E7;358369;98.05424018260508;[ 2.0113083267756697 97.98869167322432 ];
21;10000;9982;472819;3435336.0;18862;0;47367.160889601284;344153.07553596474;noop;8.209975E7;831279;98.76317096907296;[ 0.6966725110454529 99.30332748895455 ];
22;10000;9980;646091;3892388.0;15983;0;64738.577154308616;390018.8376753507;( drop 3 );7.646795E7;768055;99.5605132444942;[ 0.44095955523293157 99.55904044476706 ];
23;10000;9991;725983;3726675.0;12082;0;72663.69732759484;373003.2028825943;noop;1.488517E8;1494305;99.61266274288047;[ 0.3296220434913765 99.67037795650862 ];
24;10000;9992;686220;4087487.0;10361;0;68676.94155324259;409075.9607686149;( drop 4 );9.102705E7;912738;99.72965955181004;[ 0.3392498032700883 99.66075019672991 ];
25;10000;9994;803068;4011841.0;6544;0;80355.01300780468;401424.9549729838;noop;1.712386E8;1716690;99.74928496117529;[ 0.22588373587292732 99.77411626412707 ];
26;10000;9994;791749;4550328.0;3748;0;79222.43346007605;455305.9835901541;( drop 3 );1.1158645E8;1117892;99.81863185352431;[ 0.2709823441519977 99.729017655848 ];
27;10000;9995;925114;4410251.0;1221;0;92557.6788394197;441245.7228614307;noop;2.0397035E8;2043042;99.8365917098131;[ 0.14133393289908056 99.85866606710091 ];
28;9999;9996;713531;4700970.0;266;0;71381.65266106442;470285.1140456182;( drop 3 );1.2159305E8;1217565;99.86575665364889;[ 0.21736967279627656 99.78263032720372 ];
29;10000;9998;835852;4749807.0;97;0;83601.92038407682;475075.7151430286;noop;2.050938E8;2053420;99.87912847834345;[ 0.10109445212788867 99.89890554787212 ];
30;10000;9998;876015;4870549.0;37;0;87619.02380476095;487152.3304660932;( drop 3 );6.90595E7;690959;99.94731959493978;[ 0.08093468719142936 99.91906531280857 ];
31;10000;9999;1098080;5029647.0;8;0;109818.98189818981;503015.00150015;noop;1.7880175E8;1789038;99.94295817081583;[ 0.05978617222788868 99.94021382777211 ];
32;10000;9999;1445322;5256576.0;0;0;144546.65466546654;525710.1710171017;( drop 6 );6.82012E7;682012;100.0;[ 0.023800924638246703 99.97619907536175 ];
