Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4990;4988;26954;541454.0;25547;0;5403.769045709703;108551.3231756215;null;-1;-1;-1;[ 60.61809007939453 39.38190992060547 ];
1;14990;14987;89523;1864136.0;81273;0;5973.376926669781;124383.53239474211;( drop 4 );5315900.0;83124;63.95144603243347;[ 63.2574869028071 36.7425130971929 ];
2;10000;9994;61192;1295271.0;56329;0;6122.8737242345405;129604.86291775065;noop;8797100.0;144315;60.95762741225791;[ 56.88978951496928 43.11021048503072 ];
3;10000;9981;71210;1326864.0;62647;0;7134.555655745918;132938.98406973248;( drop 4 );4168700.0;61780;67.47652962123665;[ 66.03426485044236 33.965735149557645 ];
4;10000;9984;80029;1533744.0;66206;0;8015.72516025641;153620.1923076923;noop;9656300.0;141808;68.09418368498251;[ 68.5701433230454 31.429856676954604 ];
5;10053;10035;82360;1653116.0;68377;0;8207.274539113105;164735.0274040857;( drop 2 );1.2096E7;179706;67.30993956796101;[ 68.18661971830986 31.81338028169014 ];
6;10000;9968;87406;1698953.0;68063;0;8768.659711075441;170440.7102728732;noop;1.81417E7;267111;67.91820628877133;[ 69.16916458824338 30.83083541175663 ];
7;10000;9983;84490;1336743.0;71714;0;8463.387759190624;133901.93328658718;( drop 4 );4398400.0;57289;76.77564628462707;[ 74.01763522310333 25.982364776896674 ];
8;10000;9977;87514;1421459.0;71351;0;8771.574621629748;142473.58925528717;noop;1.10191E7;144886;76.05358695802217;[ 75.58162122631808 24.418378773681926 ];
9;10000;9977;126334;1858368.0;74832;0;12662.523804750927;186265.2099829608;( drop 3 );1.081485E7;127842;84.59543811892806;[ 83.61169598049615 16.388304019503856 ];
10;10000;9983;127738;2066451.0;69154;0;12795.55243914655;206996.99489131523;noop;2.17271E7;255684;84.97637709047105;[ 85.35518013433747 14.644819865662528 ];
11;10000;9980;4656597;4814543.0;7163;0;466592.8857715431;482419.13827655313;( drop 5 );4.62885E8;4628850;100.0;[ 99.97250137815233 0.027498621847671163 ];
