Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4992;4990;94964;1589061.0;90102;0;19030.861723446895;318449.09819639276;null;-1;-1;-1;[ 72.68649172317932 27.31350827682069 ];
1;14992;14990;266873;4636445.0;246489;0;17803.402268178786;309302.5350233489;( drop 3 );8907000.0;117018;76.1164948982208;[ 73.42181487074376 26.578185129256237 ];
2;10000;9984;172410;3045422.0;153653;0;17268.62980769231;305030.2483974359;noop;2.229035E7;289427;77.01544776403031;[ 77.62571776579085 22.374282234209154 ];
3;10248;10213;151032;2619971.0;132130;0;14788.211103495545;256532.94820327035;( drop 4 );1.43874E7;184843;77.83578496345547;[ 77.51072620371842 22.489273796281584 ];
4;10000;9954;168397;3039118.0;153601;0;16917.520594735786;305316.25477195095;noop;2.663025E7;353239;75.38875945181591;[ 72.70289850769313 27.29710149230687 ];
5;10000;9955;178247;2973582.0;145473;0;17905.27373179307;298702.36062280263;( drop 7 );2.0923E7;282124;74.16242503296422;[ 75.21108349649643 24.788916503503565 ];
6;10000;9957;176391;3093505.0;132257;0;17715.275685447425;310686.45174249273;noop;3.404435E7;458515;74.24915215423705;[ 74.38729867170093 25.612701328299064 ];
7;10000;9952;173870;3021264.0;140699;0;17470.86012861736;303583.6012861736;( drop 4 );3.466855E7;480602;72.13567567342625;[ 72.10990970265141 27.890090297348593 ];
8;10000;9951;164673;3120722.0;127194;0;16548.387096774193;313608.8835292935;noop;4.62756E7;645274;71.71465145039161;[ 70.48605418010239 29.513945819897614 ];
9;10000;9958;167248;3108978.0;132344;0;16795.340429805183;312209.0781281382;( drop 7 );2.270335E7;337205;67.32803487492771;[ 63.680283172295034 36.319716827704966 ];
10;10000;9959;171463;3113308.0;124195;0;17216.889245908224;312612.5112963149;noop;3.35153E7;508774;65.8746319583941;[ 63.01213672920689 36.98786327079311 ];
11;10000;9965;151836;2801294.0;97454;0;15236.929252383341;281113.2965378826;( drop 1 );3.83072E7;603382;63.48747559589116;[ 61.99056877156932 38.00943122843068 ];
12;10000;9966;177249;3138257.0;116073;0;17785.370258880193;314896.34758177807;noop;4.89972E7;780649;62.764699628129925;[ 60.308097647941594 39.691902352058406 ];
13;10000;9965;191952;3264123.0;116773;0;19262.6191670848;327558.75564475666;( drop 3 );1.24576E7;191432;65.07584938777217;[ 64.97093023255815 35.02906976744186 ];
14;10000;9965;190242;3378129.0;92145;0;19091.01856497742;338999.3978926242;noop;2.44509E7;381673;64.06243040508498;[ 63.04233555156064 36.95766444843936 ];
15;10000;9960;215732;3242904.0;145273;0;21659.83935742972;325592.7710843373;( drop 6 );9442550.0;145275;64.99776286353467;[ 64.41812063115347 35.58187936884653 ];
16;10000;9971;206575;3346481.0;101939;0;20717.580984856082;335621.40206599137;noop;2.108135E7;351850;59.91573113542703;[ 56.34176449231514 43.65823550768486 ];
17;10000;9966;203879;3258856.0;95730;0;20457.455348183827;326997.39112984145;( drop 7 );5010500.0;97414;51.43511199622231;[ 43.99570333384017 56.00429666615983 ];
18;10000;9968;215621;3405197.0;97407;0;21631.3202247191;341612.86115569825;noop;1.38065E7;313050;44.10317840600543;[ 40.78823491218388 59.21176508781612 ];
19;10000;9970;225959;3391189.0;62360;0;22663.891675025076;340139.3179538616;( drop 6 );1.12425E7;298787;37.627139065621996;[ 29.953885439393872 70.04611456060613 ];
20;10000;9969;241910;3527817.0;43373;0;24266.225298425117;353878.72404453804;noop;1.60458E7;540734;29.67410963616122;[ 19.844156917862016 80.15584308213799 ];
21;10000;9975;268288;3531489.0;23054;0;26896.040100250626;354033.984962406;( drop 2 );5870100.0;242490;24.20759618953359;[ 11.754905176526718 88.24509482347328 ];
22;10000;9979;329018;3795988.0;15628;0;32971.039182282795;380397.6350335705;noop;7583700.0;571588;13.267773291251741;[ 5.1984997781276405 94.80150022187236 ];
23;10000;9986;358196;3732514.0;30153;0;35869.81774484278;373774.68455838173;( drop 1 );1920900.0;263873;7.279638310854085;[ 6.8744486258919695 93.12555137410803 ];
24;10000;9986;388050;3959365.0;2627;0;38859.4031644302;396491.5882235129;noop;2970800.0;651922;4.556986878798384;[ 2.705579177940987 97.29442082205901 ];
25;10000;9992;413760;3862057.0;1859;0;41409.12730184147;386514.91192954365;( drop 6 );1002600.0;278130;3.604789127386474;[ 2.071974091260634 97.92802590873937 ];
26;10000;9994;477379;4112557.0;3987;0;47766.55993596157;411502.60156093654;noop;1618600.0;755508;2.142399551030565;[ 1.2903793421998035 98.7096206578002 ];
27;10000;9998;394304;4018342.0;8212;0;39438.28765753151;401914.58291658334;( drop 2 );2357000.0;356516;6.6112039852348845;[ 6.391515176107775 93.60848482389223 ];
28;9999;9997;446871;4252061.0;384;0;44700.510153045914;425333.70011003304;noop;3068900.0;803386;3.8199570318626415;[ 1.5933009750017342 98.40669902499826 ];
29;10000;9997;558141;4080227.0;3025;0;55830.84925477643;408145.1435430629;( drop 6 );617300.0;221688;2.7845440438814912;[ 2.117923607117198 97.88207639288281 ];
30;10000;9997;690893;4311015.0;79;0;69110.03300990297;431230.86926077824;noop;1589100.0;912614;1.7412619135801117;[ 1.4034011055257472 98.59659889447425 ];
31;10000;9998;687497;4343281.0;351;0;68763.4526905381;434414.98299659934;( drop 2 );922900.0;333563;2.7667936791550622;[ 1.876226368987792 98.12377363101221 ];
32;10000;9999;605821;5067908.0;4;0;60588.15881588159;506841.48414841486;noop;1271300.0;939385;1.3533322333228655;[ 0.5749222955295376 99.42507770447047 ];
33;10000;9998;659538;4767422.0;83;0;65966.99339867974;476837.5675135027;( drop 5 );350100.0;181423;1.9297442992343858;[ 1.6696536060090548 98.33034639399095 ];
34;10000;9998;778208;4598390.0;8;0;77836.36727345469;459930.9861972394;noop;837700.0;959630;0.872940612527745;[ 0.6265677042641556 99.37343229573584 ];
35;10000;9999;1020605;4234241.0;4;0;102070.70707070707;423466.44664466445;( drop 5 );479000.0;401734;1.1923312440570129;[ 1.301286981741222 98.69871301825877 ];
36;10000;9998;1531887;3555255.0;0;0;153219.34386877375;355596.61932386475;noop;824500.0;1933621;0.426402071553836;[ 0.22560410787479757 99.7743958921252 ];
