Game step;Thinking time(ms);Search time(ms);Iterations;Visited nodes;Added nodes;Memorized states;Iterations/second;Nodes/second;Chosen move;Move score sum;Move visits;Avg move score;Avg search score [ white red ];
0;4990;4988;91310;1647312.0;88093;0;18305.934242181236;330255.0120288693;null;-1;-1;-1;[ 42.670025188916874 57.329974811083126 ];
1;14990;14987;256512;4964190.0;240642;0;17115.633549075865;331233.0686595049;noop;1.57761E7;256512;61.50238585329341;[ 38.49761414670659 61.50238585329341 ];
2;10000;9984;162023;3371158.0;149709;0;16228.265224358975;337656.0496794872;( drop 3 );1.050105E7;171212;61.333609793706046;[ 39.4959357622066 60.5040642377934 ];
3;10000;9969;155904;3341586.0;139584;0;15638.88052964189;335197.7129100211;noop;1.97466E7;327115;60.365926356174434;[ 40.69651837027914 59.30348162972086 ];
4;10000;9953;173056;3301719.0;162892;0;17387.320405907765;331731.0358685823;( drop 3 );9466600.0;171235;55.28425847519491;[ 45.207909578402365 54.792090421597635 ];
5;10000;9958;165280;3358576.0;139290;0;16597.710383611167;337274.15143603133;noop;1.906285E7;336514;56.64801464426443;[ 41.93943610842207 58.06056389157793 ];
6;10000;9958;191740;3406327.0;148437;0;19254.870455914843;342069.3914440651;( drop 4 );1.315965E7;211022;62.361507330989184;[ 37.70366120788568 62.29633879211432 ];
7;10000;9962;148515;3189442.0;95622;0;14908.15097370006;320160.811082112;noop;2.24033E7;359896;62.24937204081179;[ 37.95205871460795 62.04794128539205 ];
8;10000;9966;149321;4033420.0;51523;0;14983.042343969497;404718.0413405579;( drop 3 );1.625765E7;255330;63.673089727019935;[ 35.38182840993564 64.61817159006436 ];
9;10000;9974;157752;3923638.0;57337;0;15816.322438339683;393386.60517345095;noop;2.559225E7;413105;61.95095677854299;[ 40.83751711547239 59.16248288452761 ];
10;10000;9980;158995;4081034.0;43254;0;15931.362725450901;408921.24248496996;( drop 5 );3.11043E7;526590;59.06739588674301;[ 40.17925091984025 59.82074908015975 ];
11;10000;9988;152911;4180731.0;16887;0;15309.471365638767;418575.39046856225;noop;3.949345E7;679511;58.12039834528065;[ 45.14161832700067 54.85838167299933 ];
12;10000;9989;189376;4235840.0;68364;0;18958.454299729703;424050.45550105115;( drop 3 );9233000.0;156861;58.861029828956845;[ 41.81654486312944 58.18345513687056 ];
13;10002;9990;182211;4465931.0;34208;0;18239.339339339338;447040.14014014014;noop;1.98941E7;339071;58.672372452967075;[ 41.48981126276679 58.51018873723321 ];
14;10000;9990;180060;4568217.0;26911;0;18024.024024024024;457278.978978979;( drop 6 );2.64606E7;484401;54.62540333318883;[ 44.83255581472842 55.16744418527158 ];
15;10000;9989;179720;4624405.0;12837;0;17991.790970067075;462949.7447191911;noop;3.60341E7;664120;54.25841715352647;[ 46.73046961940797 53.26953038059203 ];
16;10000;9992;193699;4405677.0;53441;0;19385.40832666133;440920.43634907925;( drop 5 );4.20887E7;788214;53.39755447124766;[ 44.05804882833675 55.94195117166325 ];
17;10000;9991;200552;4536863.0;38977;0;20073.265939345412;454094.98548693827;noop;5.34425E7;988765;54.04974892921978;[ 43.38725118672464 56.61274881327536 ];
18;10000;9991;211504;4709124.0;40835;0;21169.45250725653;471336.6029426484;( drop 6 );3.99073E7;740698;53.87796375850887;[ 44.689225735683486 55.310774264316514 ];
19;10000;9989;218514;4848345.0;26950;0;21875.463009310242;485368.40524577035;noop;5.175365E7;959271;53.95102114001153;[ 45.796379179366085 54.203620820633915 ];
20;10000;9989;234363;4813687.0;30606;0;23462.108319151066;481898.7886675343;( drop 6 );1.38933E7;234047;59.36115395625665;[ 40.681336217747685 59.318663782252315 ];
21;10000;9991;242592;4940087.0;14388;0;24281.052947652886;494453.7083375038;noop;2.819655E7;476638;59.157159101876054;[ 41.039481928505474 58.960518071494526 ];
22;10000;9990;262745;5195290.0;4117;0;26300.8008008008;520049.04904904903;( drop 7 );2.98235E7;487893;61.127132383534914;[ 39.02262650098004 60.97737349901996 ];
23;10000;9995;288803;5433505.0;792;0;28894.747373686845;543622.3111555778;noop;4.879715E7;776695;62.826656538280794;[ 34.30244838176889 65.69755161823112 ];
24;10000;9996;308884;5713070.0;3600;0;30900.76030412165;571535.6142456983;( drop 7 );1.59264E7;310868;51.232034175276965;[ 49.67819634555367 50.32180365444633 ];
25;10000;9997;316877;5656558.0;90;0;31697.209162748826;565825.5476642993;noop;3.197955E7;627744;50.943617143294084;[ 49.33917576851586 50.66082423148414 ];
26;10000;9998;438765;5226032.0;3005;0;43885.27705541108;522707.7415483097;( drop 5 );4.263385E7;444159;95.98781067140371;[ 4.051143550647841 95.94885644935216 ];
27;10000;9998;545364;4886887.0;566;0;54547.30946189238;488786.45729145827;noop;9.730725E7;992435;98.04899061399487;[ 0.18272199851842072 99.81727800148158 ];
28;10000;9998;616614;5084363.0;97;0;61673.73474694939;508538.0076015203;( drop 1 );1.382483E8;1391729;99.33564652313777;[ 0.08433152669254995 99.91566847330745 ];
29;10000;9998;751254;4800001.0;45;0;75140.42808561712;480096.1192238448;noop;2.1372545E8;2147851;99.50664641076126;[ 0.01923450657167882 99.98076549342832 ];
30;10000;9998;721593;4981881.0;82;0;72173.73474694938;498287.7575515103;( drop 2 );1.4889475E8;1495559;99.5579244951219;[ 0.028270784223239417 99.97172921577676 ];
31;10000;9998;820377;4608705.0;119;0;82054.11082216444;460962.6925385077;noop;2.3093525E8;2316300;99.70006044122091;[ 0.024927563790793746 99.9750724362092 ];
32;9999;9998;939401;4826537.0;50;0;93958.89177835567;482750.25005001;( drop 2 );1.7073195E8;1710213;99.83081054815979;[ 0.008728966650024856 99.99127103334997 ];
33;10000;9998;1064526;4352502.0;35;0;106473.89477895579;435337.2674534907;noop;2.7718235E8;2774766;99.89395502179283;[ 0.004274202790725637 99.99572579720927 ];
34;10000;9998;933224;5236600.0;7;0;93341.06821364273;523764.7529505901;( drop 2 );1.743952E8;1744306;99.97970539572758;[ 0.002196685897490849 99.99780331410251 ];
35;10000;9998;1072821;4827183.0;2;0;107303.56071214243;482814.8629725945;noop;2.816765E8;2817166;99.98576583701492;[ 0.0014913951162402676 99.99850860488375 ];
36;10000;9998;1046141;5293558.0;17;0;104635.02700540108;529461.6923384677;( drop 1 );1.984499E8;1984691;99.99032594998415;[ 0.0021029669996683047 99.99789703300033 ];
37;10000;9998;1204889;4819429.0;5;0;120513.0026005201;482039.3078615723;noop;3.314954E8;3315167;99.99357498430697;[ 6.639615765435654E-4 99.99933603842345 ];
38;10000;9999;1253999;5040850.0;4;0;125412.4412441244;504135.4135413541;( drop 1 );2.359767E8;2359810;99.99817781940071;[ 0.0012759180828692846 99.99872408191713 ];
39;10000;9998;1528166;4583972.0;2;0;152847.16943388677;458488.89777955593;noop;3.9283175E8;3928377;99.99848537958552;[ 0.0011124445904437084 99.99888755540955 ];
40;10000;9998;1545276;4635828.0;0;0;154558.51170234047;463675.5351070214;( drop 5 );3.538194E8;3538194;100.0;[ 0.0 100.0 ];
41;10000;9999;1968839;3937678.0;0;0;196903.5903590359;393807.1807180718;noop;6.52302E8;6523020;100.0;[ 0.0 100.0 ];
42;10000;9999;2784811;2784811.0;0;0;278508.9508950895;278508.9508950895;( drop 7 );9.30783E8;9307830;100.0;[ 0.0 100.0 ];
